filename,address,city,state,zipcode,map_year,image_captured_date,image_type,link
812 Hatherleigh Rd Baltimore MD 21212.jpg,812 Hatherleigh Rd,Baltimore,MD,21212,2022 Google,Oct 2016,Picture,"https://www.google.com/maps/place/812+Hatherleigh+Rd,+Baltimore,+MD+21212/@39.3830019,-76.6009039,3a,75y,335.55h,90t/data=!3m7!1e1!3m5!1sfiYI5uuVso8qAzw3602iyA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DfiYI5uuVso8qAzw3602iyA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D335.55157%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m5!3m4!1s0x89c80f9955b4b90f:0x29cd24af867a252c!8m2!3d39.3833402!4d-76.6010796"
1200 Wakeford Cir Idlewylde MD 21239.jpg,1200 Wakeford Cir,Idlewylde,MD,21239,2022 Google,Sep 2022,Picture,"https://www.google.com/maps/place/1200+Wakeford+Cir,+Baltimore,+MD+21239/@39.3740315,-76.5869845,3a,75y,189.17h,90t/data=!3m7!1e1!3m5!1ssIqqj4zW_5wVpC5h-QIXUw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DsIqqj4zW_5wVpC5h-QIXUw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D189.16882%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c80f7a52c65597:0x3c00f6cc911e5fcd!8m2!3d39.3739498!4d-76.587008"
204 Willow Ave Towson MD 21286.jpg,204 Willow Ave,Towson,MD,21286,2022 Google,Sep 2014,Picture,"https://www.google.com/maps/place/204+Willow+Ave,+Towson,+MD+21286/@39.3971436,-76.5969752,3a,75y,22.02h,90t/data=!3m7!1e1!3m5!1sWPfiAsT5kUqJRxnJTgZJmw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DWPfiAsT5kUqJRxnJTgZJmw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D22.02463%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m5!3m4!1s0x89c80fa7c492f42f:0x640ec14dd1016745!8m2!3d39.397227!4d-76.596941"
1126 Cowpens Ave Towson MD 21286.jpg,1126 Cowpens Ave,Towson,MD,21286,2022 Google,Sep 2022,Picture,"https://www.google.com/maps/place/1126+Cowpens+Ave,+Towson,+MD+21286/@39.4069307,-76.568445,3a,75y,93.39h,90t/data=!3m7!1e1!3m5!1s9RxCmjb6D5WX1NT5sRuvYQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D9RxCmjb6D5WX1NT5sRuvYQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D93.38807%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c80edf1bba0f73:0xd3de16895b311208!8m2!3d39.4069137!4d-76.5681263"
1313 Burleigh Rd Lutherville Timonium MD 21093.jpg,1313 Burleigh Rd,Lutherville Timonium,MD,21093,2022 Google,Aug 2022,Picture,"https://www.google.com/maps/place/1313+Burleigh+Rd,+Timonium,+MD+21093/@39.4173693,-76.6206627,3a,75y,80.2h,90t/data=!3m7!1e1!3m5!1sfVcVwo_NnMXxzw1BUAtiHw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DfVcVwo_NnMXxzw1BUAtiHw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D80.20238%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c80e365d24db7d:0x6270c9e07064c90e!8m2!3d39.4174051!4d-76.620419"
1636 Wentworth Ave Parkville MD 21234.jpg,1636 Wentworth Ave,Parkville,MD,21234,2022 Google,Jun 2019,Picture,"https://www.google.com/maps/place/1636+Wentworth+Ave,+Parkville,+MD+21234/@39.3760522,-76.5667331,3a,75y,342.27h,90t/data=!3m7!1e1!3m5!1skPyR8lWP5QjXU610seZrJA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DkPyR8lWP5QjXU610seZrJA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D342.2654%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c80f437a119e41:0xb4e76dae2fafccd!8m2!3d39.3762644!4d-76.5668282"
6826 Queens Ferry Rd Baltimore MD 21239.jpg,6826 Queens Ferry Rd,Baltimore,MD,21239,2022 Google,May 2022,Picture,"https://www.google.com/maps/place/6826+Queens+Ferry+Rd,+Baltimore,+MD+21239/@39.3816444,-76.5822683,3a,75y,294.29h,90t/data=!3m7!1e1!3m5!1sPgACLh1qInrXmHv2NoJ-xw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPgACLh1qInrXmHv2NoJ-xw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D294.28598%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m5!3m4!1s0x89c80f6def14418d:0xba6ae83f5cfcd7a7!8m2!3d39.3817449!4d-76.5825414"
12 Hillsyde Ct Cockeysville MD 21030.jpg,12 Hillsyde Ct,Cockeysville,MD,21030,2022,Oct 2012,Picture,"https://www.google.com/maps/place/12+Hillsyde+Ct,+Cockeysville,+MD+21030/@39.4614741,-76.6820248,3a,75y,1.94h,90t/data=!3m7!1e1!3m5!1sg0Bv2I-skyP67SiWGr2vrQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dg0Bv2I-skyP67SiWGr2vrQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D1.9356089%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m5!3m4!1s0x89c8122bd7273063:0x1ce1153a2a9a0363!8m2!3d39.4618405!4d-76.6820119"
13045 Jerome Jay Dr Cockeysville MD 21030.jpg,13045 Jerome Jay Dr,Cockeysville,MD,21030,2022 Google,,Map data,"https://www.google.com/maps/place/13045+Jerome+Jay+Dr,+Hunt+Valley,+MD+21030/@39.4751026,-76.675651,17z/data=!3m1!4b1!4m5!3m4!1s0x89c81239aecfcfa5:0xe4bc537ddf2057f7!8m2!3d39.4751026!4d-76.6734623"
14 Rainflower Path  Unit #104 Sparks Glencoe MD 21152.jpg,14 Rainflower Path  Unit #104,Sparks Glencoe,MD,21152,2022,,Map data,"https://www.google.com/maps/place/14+Rain+Flower+Path+UNIT+104,+Sparks,+MD+21152/@39.5194474,-76.643832,17z/data=!3m1!4b1!4m5!3m4!1s0x89c812a0a5df2a91:0x958e1b9f3bdfba34!8m2!3d39.5194474!4d-76.6416433"
